"","time","S","E","I","R","D","N_t"
"197",196,93072.9109484347,0.0712502345042919,0.482551395620181,3711580.20848744,195346.326762497,4e+06
"198",197,93072.9051100407,0.0636163821473515,0.430850391279421,3711580.27040202,195346.330021159,4e+06
"199",198,93072.8998971779,0.0568004340439292,0.384688674406467,3711580.32568303,195346.332930686,4e+06
"200",199,93072.8952428264,0.0507147580417568,0.343472762464776,3711580.37504117,195346.335528483,4e+06
"201",200,93072.8910871468,0.0452811111911872,0.306672758749578,3711580.41911103,195346.337847949,4e+06
"202",201,93072.887376711,0.0404296337366266,0.273815539836737,3711580.45845921,195346.339918906,4e+06
"203",202,93072.884063815,0.0360979509005291,0.244478672915363,3711580.49359158,195346.341767978,4e+06
"204",203,93072.881105866,0.0322303709094295,0.218284984807637,3711580.52495984,195346.343418939,4e+06
"205",204,93072.8784648348,0.0287771689493184,0.194897712856575,3711580.55296727,195346.344893014,4e+06
"206",205,93072.8761067663,0.0256939478428195,0.17401617534238,3711580.57797395,195346.346209155,4e+06
"207",206,93072.8740013437,0.0229410672273244,0.155371905766568,3711580.6003014,195346.347384284,4e+06
"208",207,93072.8721214983,0.0204831338941851,0.138725201306272,3711580.62023666,195346.348433508,4e+06
"209",208,93072.8704430615,0.0182885467355942,0.123862041065393,3711580.63803603,195346.349370317,4e+06
"210",209,93072.8689444541,0.0163290904480171,0.110591334503267,3711580.65392836,195346.350206756,4e+06
"211",210,93072.8676064091,0.014579572768018,0.0987424646661138,3711580.66811797,195346.350953577,4e+06
"212",211,93072.8664117237,0.0130175005761072,0.0881630946364856,3711580.68078729,195346.351620384,4e+06
"213",212,93072.8653450381,0.0116227907040376,0.0787172089998116,3711580.69209921,195346.352215748,4e+06
"214",213,93072.8643926383,0.0103775117272127,0.0702833651484962,3711580.70219916,195346.352747324,4e+06
"215",214,93072.8635422796,0.00926565342229245,0.0627531319417121,3711580.71121699,195346.353221947,4e+06
"216",215,93072.8627830293,0.00827292092580725,0.0560296956476849,3711580.71926863,195346.353645718,4e+06
"217",216,93072.8621051258,0.00738655094719917,0.0500266152458751,3711580.72645762,195346.354024085,4e+06
"218",217,93072.8614998537,0.0065951476732843,0.0446667110866628,3711580.73287637,195346.354361914,4e+06
"219",218,93072.860959431,0.00588853625431913,0.0398810726206185,3711580.73860741,195346.354663548,4e+06
"220",219,93072.8604769098,0.00525763198791337,0.0356081724402363,3711580.74372442,195346.354932864,4e+06
"221",220,93072.8600460864,0.00469432351886808,0.0317930752437946,3711580.74829319,195346.355173326,4e+06
"222",221,93072.8596614219,0.00419136855322851,0.0283867315513626,3711580.75237245,195346.355388024,4e+06
"223",222,93072.8593179708,0.00374230074008249,0.0253453470542567,3711580.75601466,195346.355579719,4e+06
"224",223,93072.8590113174,0.00334134665685476,0.0226298203904911,3711580.75926664,195346.355750876,4e+06
"225",224,93072.8587375193,0.00298335127988544,0.0202052383870529,3711580.76217019,195346.355903694,4e+06
"226",225,93072.8584930561,0.0026637119042406,0.0180404285248875,3711580.76476266,195346.35604014,4e+06
"227",226,93072.858274785,0.0023783190303685,0.0161075585872133,3711580.76707737,195346.356161967,4e+06
"228",227,93072.8580798997,0.00212350345065842,0.014381778297103,3711580.76914407,195346.356270741,4e+06
"229",228,93072.8579058946,0.00189598908062479,0.0128408998609343,3711580.77098935,195346.356367861,4e+06
"230",229,93072.8577505326,0.00169285083970475,0.0114651127107735,3711580.77263692,195346.356454575,4e+06
"231",230,93072.8576118162,0.00151147704311439,0.0102367287983227,3711580.77410797,195346.356531999,4e+06
"232",231,93072.8574879621,0.00134953582504763,0.00913995519153098,3711580.77542142,195346.356601127,4e+06
"233",232,93072.8573773778,0.00120494515836926,0.00816069102884698,3711580.77659413,195346.356662849,4e+06
"234",233,93072.8572786416,0.00107584608659847,0.0072863462290697,3711580.7776412,195346.356717958,4e+06
"235",234,93072.8571904841,0.000960578823883786,0.00650567962500914,3711580.77857609,195346.356767163,4e+06
"236",235,93072.8571117719,0.000857661415623252,0.00580865443943168,3711580.77941081,195346.356811096,4e+06
"237",236,93072.857041493,0.00076577068542657,0.00518630924554793,3711580.7801561,195346.356850321,4e+06
"238",237,93072.8569787439,0.000683725223440003,0.00463064275289788,3711580.78082154,195346.356885344,4e+06
"239",238,93072.8569227177,0.000610470197322055,0.00413451093738481,3711580.78141568,195346.356916615,4e+06
"240",239,93072.8568726943,0.000545063790589679,0.00369153519290082,3711580.78194617,195346.356944535,4e+06
"241",240,93072.8568280304,0.000486665093975597,0.00329602032367552,3711580.78241982,195346.356969464,4e+06
"242",241,93072.8567881519,0.000434523294119567,0.00294288132300519,3711580.78284272,195346.356991722,4e+06
"243",242,93072.856752546,0.000387968020595557,0.00262757799698131,3711580.78322031,195346.357011595,4e+06
"244",243,93072.8567207549,0.000346400727169291,0.0023460565926974,3711580.78355744,195346.357029339,4e+06
"245",244,93072.85669237,0.000309286996477468,0.00209469768046799,3711580.78385846,195346.357045182,4e+06
"246",245,93072.8566670262,0.000276149669192177,0.00187026961999859,3711580.78412722,195346.357059328,4e+06
"247",246,93072.8566443978,0.000246562709334177,0.0016698870122368,3711580.78436719,195346.357071958,4e+06
"248",247,93072.8566241939,0.000220145726863208,0.00149097360273383,3711580.78458145,195346.357083234,4e+06
"249",248,93072.8566061546,0.000196559087123917,0.00133122915957716,3711580.78477275,195346.357093303,4e+06
"250",249,93072.8565900481,0.000175499544271029,0.00118859990005488,3711580.78494356,195346.357102293,4e+06
"251",250,93072.8565756672,0.000156696342534025,0.00106125208583718,3711580.78509606,195346.357110319,4e+06
"252",251,93072.8565628271,0.000139907735196233,0.000947548447194935,3711580.78523223,195346.357117486,4e+06
"253",252,93072.8565513627,0.000124917863380497,0.000846027044065817,3711580.7853538,195346.357123885,4e+06
"254",253,93072.8565411266,0.000111533977102392,0.00075538244518238,3711580.78546236,195346.357129598,4e+06
"255",254,93072.8565319872,9.95840572754157e-05,0.000674449622712089,3711580.78555928,195346.357134699,4e+06
"256",255,93072.856523827,8.89144714471573e-05,0.000602188075345651,3711580.78564581,195346.357139253,4e+06
"257",256,93072.8565165411,7.93880408519709e-05,0.000537668737093094,3711580.78572308,195346.35714332,4e+06
"258",257,93072.8565100358,7.08822864694016e-05,0.000480062098425442,3711580.78579206,195346.357146951,4e+06
"259",258,93072.8565042275,6.3287851457136e-05,0.000428627521941697,3711580.78585366,195346.357150193,4e+06
"260",259,93072.8564990415,5.65070956568318e-05,0.000382703723427464,3711580.78590866,195346.357153087,4e+06
"261",260,93072.8564944112,5.04528402573888e-05,0.000341700269879442,3711580.78595776,195346.357155672,4e+06
"262",261,93072.8564902769,4.50472469089307e-05,0.000305089988119432,3711580.7860016,195346.357157979,4e+06
"263",262,93072.8564865856,4.02208169808319e-05,0.000272402187103617,3711580.78604075,195346.357160039,4e+06
"264",263,93072.8564832898,3.59114980309063e-05,0.000243216606337098,3711580.7860757,195346.357161879,4e+06
"265",264,93072.8564803471,3.20638860091329e-05,0.000217158012666349,3711580.78610691,195346.357163521,4e+06
"266",265,93072.8564777197,2.86285129390365e-05,0.000193891375983204,3711580.78613477,195346.357164988,4e+06
"267",266,93072.8564753738,2.55612108974507e-05,0.000173117561672234,3711580.78615965,195346.357166297,4e+06
"268",267,93072.8564732793,2.28226503889329e-05,0.000154570204174862,3711580.78618186,195346.357167466,4e+06
"269",268,93072.8564714093,2.03775494244612e-05,0.000138010350343363,3711580.78620169,195346.35716851,4e+06
"270",269,93072.8564697396,1.81943997144631e-05,0.000123224605037688,3711580.7862194,195346.357169442,4e+06
"271",270,93072.8564682488,1.62451411166809e-05,0.000110022926269518,3711580.78623521,195346.357170274,4e+06
"272",271,93072.8564669177,1.45047166849519e-05,9.82356116961464e-05,3711580.78624932,195346.357171017,4e+06
"273",272,93072.8564657292,1.29507527516843e-05,8.77111319258339e-05,3711580.78626193,195346.35717168,4e+06
"274",273,93072.856464668,1.15632728605232e-05,7.8314193079188e-05,3711580.78627318,195346.357172273,4e+06
"275",274,93072.8564637206,1.03244407347223e-05,6.99239959996958e-05,3711580.78628323,195346.357172801,4e+06
"276",275,93072.8564628746,9.21833098394335e-06,6.24326833273543e-05,3711580.7862922,195346.357173274,4e+06
"277",276,93072.8564621193,8.23072438630041e-06,5.57439530122417e-05,3711580.78630021,195346.357173695,4e+06
"278",277,93072.8564614449,7.34892509737467e-06,4.97718203321345e-05,3711580.78630736,195346.357174072,4e+06
"279",278,93072.8564608427,6.56159744300427e-06,4.44395125445011e-05,3711580.78631374,195346.357174408,4e+06
"280",279,93072.8564603051,5.85862019735442e-06,3.96784819604642e-05,3711580.78631945,195346.357174708,4e+06
"281",280,93072.856459825,5.23095647290075e-06,3.54275247530426e-05,3711580.78632454,195346.357174976,4e+06
"282",281,93072.8564593964,4.67053754976019e-06,3.16319941719441e-05,3711580.78632908,195346.357175215,4e+06
"283",282,93072.8564590137,4.17015804174514e-06,2.82430905382041e-05,3711580.78633314,195346.357175429,4e+06
